"tijd","vlaanderen_zon_kwh","vlaanderen_wind_kwh","elia_zon_kwh","elia_wind_kwh"
"2026-03-25 22:00:00+00","0","324359",NULL,NULL
"2026-03-25 21:00:00+00","0","308023",NULL,NULL
"2026-03-25 20:00:00+00","0","318561",NULL,NULL
"2026-03-25 19:00:00+00","3928","367926",NULL,NULL
"2026-03-25 18:00:00+00","214910","437398",NULL,NULL
"2026-03-25 17:00:00+00","925417","505937",NULL,NULL
"2026-03-25 16:00:00+00","1729398","581564",NULL,NULL
"2026-03-25 15:00:00+00","2566727","620881",NULL,NULL
"2026-03-25 14:00:00+00","3255207","607576",NULL,NULL
"2026-03-25 13:00:00+00","3434877","576080",NULL,NULL
"2026-03-25 12:00:00+00","3160663","531978",NULL,NULL
"2026-03-25 11:00:00+00","2616721","493780",NULL,NULL
"2026-03-25 10:00:00+00","2090018","471583",NULL,NULL
"2026-03-25 09:00:00+00","1852861","587649",NULL,NULL
"2026-03-25 08:00:00+00","1351701","656501",NULL,NULL
"2026-03-25 07:00:00+00","388965","699911",NULL,NULL
"2026-03-25 06:00:00+00","23949","795474",NULL,NULL
"2026-03-25 05:00:00+00","0","901511",NULL,NULL
"2026-03-25 04:00:00+00","0","1048068",NULL,NULL
"2026-03-25 03:00:00+00","0","1107502",NULL,NULL
"2026-03-25 02:00:00+00","0","1101529",NULL,NULL
"2026-03-25 01:00:00+00","0","1075438",NULL,NULL
"2026-03-25 00:00:00+00","0","1064615",NULL,NULL
"2026-03-24 23:00:00+00","0","972673",NULL,NULL
"2026-03-24 22:00:00+00","0","870938","0","527525"
"2026-03-24 21:00:00+00","0","808147","0","795500"
"2026-03-24 20:00:00+00","0","735714","0","472075"
"2026-03-24 19:00:00+00","3470","670563","0","699400"
"2026-03-24 18:00:00+00","173396","644241","135.25","1130750"
"2026-03-24 17:00:00+00","723857","602122","108583.5","622175"
"2026-03-24 16:00:00+00","1568733","581794","570086.5","594125"
"2026-03-24 15:00:00+00","2699812","553300","1165593.75","155775"
"2026-03-24 14:00:00+00","3735475","490438","2230512.25","768575"
"2026-03-24 13:00:00+00","4031246","430400","3308588.5","330125"
"2026-03-24 12:00:00+00","3760554","406445","4131224.75","291600"
"2026-03-24 11:00:00+00","3144775","363856","3543990.5","565150"
"2026-03-24 10:00:00+00","2491212","309261","2682944.25","383775"
"2026-03-24 09:00:00+00","1713228","398816","1937048.75","431475"
"2026-03-24 08:00:00+00","845308","430445","1345190","457400"
"2026-03-24 07:00:00+00","220008","423355","792155","100475"
"2026-03-24 06:00:00+00","9540","411875","267359.75","228625"
"2026-03-24 05:00:00+00","0","384233","10291.75","346725"
"2026-03-24 04:00:00+00","0","344982","0","320100"
"2026-03-24 03:00:00+00","0","313818","0","188500"
"2026-03-24 02:00:00+00","0","279977","0","276575"
"2026-03-24 01:00:00+00","0","220646","0","238550"
"2026-03-24 00:00:00+00","0","173405","0","123400"
"2026-03-23 23:00:00+00","0","124530","0","64450"
"2026-03-23 22:00:00+00","0","105489","0","51150"
"2026-03-23 21:00:00+00","0","106744","0","16500"
"2026-03-23 20:00:00+00","0","122010","0","17575"
"2026-03-23 19:00:00+00","6082","147207","0","27000"
"2026-03-23 18:00:00+00","282745","137354","31.25","69850"
"2026-03-23 17:00:00+00","1281245","109771","167117.25","29625"
"2026-03-23 16:00:00+00","2348261","98254","1005409","17975"
"2026-03-23 15:00:00+00","3097976","95855","2089025","5775"
"2026-03-23 14:00:00+00","3721194","95688","3169915.75","4375"
"2026-03-23 13:00:00+00","4066148","91178","3520178.75","2700"
"2026-03-23 12:00:00+00","4258344","93657","3685624.75","1525"
"2026-03-23 11:00:00+00","4331285","95588","4070520","1075"
"2026-03-23 10:00:00+00","4004462","95753","3801809.25","1850"
"2026-03-23 09:00:00+00","3028820","99629","3667440.25","5300"
"2026-03-23 08:00:00+00","1580643","103935","2775490.25","16050"
"2026-03-23 07:00:00+00","352074","107281","1520596.75","43575"
"2026-03-23 06:00:00+00","14711","119511","433226.75","25400"
"2026-03-23 05:00:00+00","0","122098","10708.5","33975"
"2026-03-23 04:00:00+00","0","128607","0","33425"
"2026-03-23 03:00:00+00","0","133670","0","25650"
"2026-03-23 02:00:00+00","0","125435","0","14550"
"2026-03-23 01:00:00+00","0","139617","0","52325"
"2026-03-23 00:00:00+00","0","162889","0","73250"
"2026-03-22 23:00:00+00","0","178653","0","105050"
"2026-03-22 22:00:00+00","0","182346","0","32150"
"2026-03-22 21:00:00+00","0","178227","0","170525"
"2026-03-22 20:00:00+00","0","175707","0","81725"
"2026-03-22 19:00:00+00","6273","156738","0","109125"
"2026-03-22 18:00:00+00","292902","131859","1.75","78400"
"2026-03-22 17:00:00+00","1397949","127213","182199.25","63375"
"2026-03-22 16:00:00+00","2853614","125063","1153732.25","49675"
"2026-03-22 15:00:00+00","4018621","116361","2575583.25","30750"
"2026-03-22 14:00:00+00","4802891","110994","3974151","52700"
"2026-03-22 13:00:00+00","5093330","107047","4897888.5","45700"
"2026-03-22 12:00:00+00","5088174","106872","5313467","55025"
"2026-03-22 11:00:00+00","4856951","106910","5122705.5","18175"
"2026-03-22 10:00:00+00","4214080","108926","4462824.5","17550"
"2026-03-22 09:00:00+00","3090084","137064","2927459.5","43675"
"2026-03-22 08:00:00+00","1610622","206523","2176386.75","77450"
"2026-03-22 07:00:00+00","360194","238363","1256312.25","149600"
"2026-03-22 06:00:00+00","15407","227822","366427.5","163300"
"2026-03-22 05:00:00+00","0","216289","8197.25","175500"
"2026-03-22 04:00:00+00","0","215643","0","172775"
"2026-03-22 03:00:00+00","0","208921","0","161300"
"2026-03-22 02:00:00+00","0","199271","0","46100"
"2026-03-22 01:00:00+00","0","207710","0","146850"
"2026-03-22 00:00:00+00","0","232107","0","154825"
"2026-03-21 23:00:00+00","0","252750","0","113025"
"2026-03-21 22:00:00+00","0","282460","0","120925"
"2026-03-21 21:00:00+00","0","310600","0","214950"
"2026-03-21 20:00:00+00","0","310332","0","154050"
"2026-03-21 19:00:00+00","4899","268616","0","242200"
"2026-03-21 18:00:00+00","277043","208741","0","243700"
"2026-03-21 17:00:00+00","1357337","183665","176246.25","185375"
"2026-03-21 16:00:00+00","2813563","174533","1158593.25","84900"
"2026-03-21 15:00:00+00","3977811","162886","2527636.25","182100"
"2026-03-21 14:00:00+00","4765753","151097","3932748.5","106150"
"2026-03-21 13:00:00+00","5049746","138975","4844331.75","69825"
"2026-03-21 12:00:00+00","5036964","123276","5237906.25","102050"
"2026-03-21 11:00:00+00","4814897","109942","5158405.75","50650"
"2026-03-21 10:00:00+00","4181934","106020","4677798.25","49400"
"2026-03-21 09:00:00+00","3054841","120295","3934556.75","33625"
"2026-03-21 08:00:00+00","1572193","187841","2880059.75","71725"
"2026-03-21 07:00:00+00","340463","215221","1573759","133250"
"2026-03-21 06:00:00+00","12769","209376","390518.25","40625"
"2026-03-21 05:00:00+00","0","207975","6345","174700"
"2026-03-21 04:00:00+00","0","210974","0","129800"
"2026-03-21 03:00:00+00","0","218848","0","212275"
"2026-03-21 02:00:00+00","0","229261","0","220625"
"2026-03-21 01:00:00+00","0","245057","0","196375"
"2026-03-21 00:00:00+00","0","250420","0","51900"
"2026-03-20 23:00:00+00","0","261034","0","118425"
"2026-03-20 22:00:00+00","0","269020","0","130325"
"2026-03-20 21:00:00+00","0","290925","0","210075"
"2026-03-20 20:00:00+00","0","302888","0","312600"
"2026-03-20 19:00:00+00","2790","268731","0","152550"
"2026-03-20 18:00:00+00","241060","206025","0","172800"
"2026-03-20 17:00:00+00","1215390","166848","131101","154325"
"2026-03-20 16:00:00+00","2582648","144656","906198.75","64925"
"2026-03-20 15:00:00+00","3544266","127718","2128454.75","65375"
"2026-03-20 14:00:00+00","3840983","113437","3425757","62650"
"2026-03-20 13:00:00+00","3677351","103033","4254636.25","45350"
"2026-03-20 12:00:00+00","3317380","96760","4410814.75","18750"
"2026-03-20 11:00:00+00","2874349","96429","4430176.25","20425"
"2026-03-20 10:00:00+00","2223512","100593","3694877.75","19550"
"2026-03-20 09:00:00+00","1473388","129608","2620021","24425"
"2026-03-20 08:00:00+00","808191","169118","1873802.25","52100"
"2026-03-20 07:00:00+00","222841","178519","1064358","25500"
"2026-03-20 06:00:00+00","7906","164630","292048","71450"
"2026-03-20 05:00:00+00","0","172686","4128.25","60375"
"2026-03-20 04:00:00+00","0","189272","0","166400"
