tijd,vlaanderen zon kwh,vlaanderen wind kwh,elia zon kwh,elia wind kwh
2025-02-28 23:00:00+00:00,0.0,313476.0,0.0,124200.0
2025-03-01 00:00:00+00:00,0.0,314185.0,0.0,112100.0
2025-03-01 01:00:00+00:00,0.0,308580.0,0.0,91750.0
2025-03-01 02:00:00+00:00,0.0,259495.0,0.0,79387.5
2025-03-01 03:00:00+00:00,0.0,233262.0,0.0,79562.5
2025-03-01 04:00:00+00:00,0.0,217993.0,0.0,76312.5
2025-03-01 05:00:00+00:00,0.0,190436.0,0.0,61450.0
2025-03-01 06:00:00+00:00,0.0,158415.0,17008.0,58025.0
2025-03-01 07:00:00+00:00,7022.0,93303.0,245843.0,64975.0
2025-03-01 08:00:00+00:00,252504.0,90455.0,651782.0,46375.0
2025-03-01 09:00:00+00:00,782750.0,89064.0,1178629.5,47837.5
2025-03-01 10:00:00+00:00,1179964.0,95167.0,1401296.5,53512.5
2025-03-01 11:00:00+00:00,1215711.0,122972.0,1475368.25,60400.0
2025-03-01 12:00:00+00:00,1448848.0,138191.0,1680605.75,62200.0
2025-03-01 13:00:00+00:00,1817075.0,153967.0,1872405.25,58450.0
2025-03-01 14:00:00+00:00,1816987.0,154366.0,1596906.0,61212.5
2025-03-01 15:00:00+00:00,1511213.0,148140.0,1033930.5,60212.5
2025-03-01 16:00:00+00:00,925755.0,149347.0,337428.0,54762.5
2025-03-01 17:00:00+00:00,410357.0,119204.0,15741.5,55562.5
2025-03-01 18:00:00+00:00,12276.0,114787.0,0.0,61912.5
2025-03-01 19:00:00+00:00,0.0,114619.0,0.0,87650.0
2025-03-01 20:00:00+00:00,0.0,152463.0,0.0,90987.5
2025-03-01 21:00:00+00:00,0.0,135427.0,0.0,85412.5
2025-03-01 22:00:00+00:00,0.0,110318.0,0.0,71562.5
2025-03-01 23:00:00+00:00,0.0,100902.0,0.0,69975.0
2025-03-02 00:00:00+00:00,0.0,131657.0,0.0,77125.0
2025-03-02 01:00:00+00:00,0.0,183362.0,0.0,45525.0
2025-03-02 02:00:00+00:00,0.0,176484.0,0.0,56600.0
2025-03-02 03:00:00+00:00,0.0,177341.0,0.0,56437.5
2025-03-02 04:00:00+00:00,0.0,128984.0,0.0,54162.5
2025-03-02 05:00:00+00:00,0.0,73461.0,0.0,44225.0
2025-03-02 06:00:00+00:00,0.0,129713.0,55260.25,42612.5
2025-03-02 07:00:00+00:00,30042.0,158278.0,774215.0,61450.0
2025-03-02 08:00:00+00:00,783611.0,123103.0,2016155.75,53275.0
2025-03-02 09:00:00+00:00,2125036.0,83776.0,3464391.5,23912.5
2025-03-02 10:00:00+00:00,3442612.0,32494.0,4457431.5,10925.0
2025-03-02 11:00:00+00:00,4361489.0,14207.0,4798727.0,9062.5
2025-03-02 12:00:00+00:00,4846718.0,23122.0,5006879.0,7737.5
2025-03-02 13:00:00+00:00,4840452.0,35368.0,4667498.5,9950.0
2025-03-02 14:00:00+00:00,4315498.0,21844.0,3661457.0,16712.5
2025-03-02 15:00:00+00:00,3388900.0,29298.0,2079959.75,25187.5
2025-03-02 16:00:00+00:00,2008074.0,40954.0,665730.25,37000.0
2025-03-02 17:00:00+00:00,754465.0,64845.0,29380.5,45875.0
2025-03-02 18:00:00+00:00,21227.0,110351.0,0.0,59225.0
2025-03-02 19:00:00+00:00,0.0,179830.0,0.0,70262.5
2025-03-02 20:00:00+00:00,0.0,181889.0,0.0,81437.5
2025-03-02 21:00:00+00:00,0.0,194984.0,0.0,79725.0
2025-03-02 22:00:00+00:00,0.0,240794.0,0.0,73737.5
2025-03-02 23:00:00+00:00,0.0,224409.0,0.0,69087.5
2025-03-03 00:00:00+00:00,0.0,176941.0,0.0,53125.0
2025-03-03 01:00:00+00:00,0.0,104746.0,0.0,18800.0
2025-03-03 02:00:00+00:00,0.0,35086.0,0.0,9925.0
2025-03-03 03:00:00+00:00,0.0,23359.0,0.0,7212.5
2025-03-03 04:00:00+00:00,0.0,11376.0,0.0,4625.0
2025-03-03 05:00:00+00:00,0.0,6145.0,0.0,7887.5
2025-03-03 06:00:00+00:00,0.0,13259.0,73139.25,5900.0
2025-03-03 07:00:00+00:00,70088.0,23309.0,890015.25,2175.0
2025-03-03 08:00:00+00:00,1022638.0,37404.0,2399197.5,3350.0
2025-03-03 09:00:00+00:00,2308660.0,19070.0,3728084.75,7500.0
2025-03-03 10:00:00+00:00,3535212.0,9496.0,4689454.0,3462.5
2025-03-03 11:00:00+00:00,4384010.0,5154.0,5058505.5,2475.0
2025-03-03 12:00:00+00:00,4842336.0,3401.0,5097607.5,2187.5
2025-03-03 13:00:00+00:00,4809892.0,6474.0,4662702.25,2762.5
2025-03-03 14:00:00+00:00,4267961.0,8696.0,3661988.5,3275.0
2025-03-03 15:00:00+00:00,3349366.0,7752.0,2158153.0,3187.5
2025-03-03 16:00:00+00:00,1996255.0,5737.0,702450.0,2375.0
2025-03-03 17:00:00+00:00,762061.0,2916.0,35241.5,3250.0
2025-03-03 18:00:00+00:00,24492.0,10731.0,0.0,7625.0
2025-03-03 19:00:00+00:00,0.0,18074.0,0.0,10500.0
2025-03-03 20:00:00+00:00,0.0,21368.0,0.0,6775.0
2025-03-03 21:00:00+00:00,0.0,17082.0,0.0,13212.5
2025-03-03 22:00:00+00:00,0.0,27559.0,0.0,19100.0
2025-03-03 23:00:00+00:00,0.0,38232.0,0.0,21012.5
2025-03-04 00:00:00+00:00,0.0,58747.0,0.0,26950.0
2025-03-04 01:00:00+00:00,0.0,70208.0,0.0,24475.0
2025-03-04 02:00:00+00:00,0.0,68360.0,0.0,25350.0
2025-03-04 03:00:00+00:00,0.0,58426.0,0.0,25762.5
2025-03-04 04:00:00+00:00,0.0,26670.0,0.0,24375.0
2025-03-04 05:00:00+00:00,0.0,30185.0,0.0,15775.0
2025-03-04 06:00:00+00:00,0.0,40727.0,86174.0,12475.0
2025-03-04 07:00:00+00:00,51341.0,35140.0,957305.5,8037.5
2025-03-04 08:00:00+00:00,624313.0,20675.0,2237746.25,7575.0
2025-03-04 09:00:00+00:00,1695650.0,15883.0,3080040.5,6337.5
2025-03-04 10:00:00+00:00,2933064.0,13351.0,4005480.5,1237.5
2025-03-04 11:00:00+00:00,3802968.0,1507.0,4593912.0,875.0
2025-03-04 12:00:00+00:00,4172916.0,660.0,4588924.25,887.5
2025-03-04 13:00:00+00:00,4238613.0,5879.0,4289534.25,1312.5
2025-03-04 14:00:00+00:00,3839119.0,12816.0,3483646.5,1512.5
2025-03-04 15:00:00+00:00,3006015.0,8553.0,2119333.75,1637.5
2025-03-04 16:00:00+00:00,1879748.0,1461.0,723532.25,1800.0
2025-03-04 17:00:00+00:00,701606.0,1846.0,40796.75,7287.5
2025-03-04 18:00:00+00:00,43913.0,10618.0,0.0,15700.0
2025-03-04 19:00:00+00:00,0.0,45768.0,0.0,32650.0
2025-03-04 20:00:00+00:00,0.0,118489.0,0.0,81912.5
2025-03-04 21:00:00+00:00,0.0,183220.0,0.0,64387.5
2025-03-04 22:00:00+00:00,0.0,177616.0,0.0,41900.0
2025-03-04 23:00:00+00:00,0.0,136210.0,0.0,35462.5
2025-03-05 00:00:00+00:00,0.0,69100.0,0.0,27550.0
2025-03-05 01:00:00+00:00,0.0,23755.0,0.0,7100.0
2025-03-05 02:00:00+00:00,0.0,3784.0,0.0,6912.5
2025-03-05 03:00:00+00:00,0.0,2090.0,0.0,24787.5
2025-03-05 04:00:00+00:00,0.0,15372.0,0.0,43362.5
2025-03-05 05:00:00+00:00,0.0,66422.0,0.0,55337.5
2025-03-05 06:00:00+00:00,0.0,168301.0,114703.25,64662.5
2025-03-05 07:00:00+00:00,90892.0,195784.0,1193198.75,97737.5
2025-03-05 08:00:00+00:00,1066317.0,205102.0,2866848.5,147025.0
2025-03-05 09:00:00+00:00,2212468.0,240862.0,3703829.0,112500.0
2025-03-05 10:00:00+00:00,3234520.0,227173.0,4298560.5,44575.0
2025-03-05 11:00:00+00:00,3971510.0,113710.0,4624668.25,20087.5
2025-03-05 12:00:00+00:00,4333037.0,42489.0,4663850.75,20325.0
2025-03-05 13:00:00+00:00,4324678.0,37225.0,4345597.0,20900.0
2025-03-05 14:00:00+00:00,3873778.0,37799.0,3519828.0,23362.5
2025-03-05 15:00:00+00:00,3046790.0,49025.0,2176976.25,23475.0
2025-03-05 16:00:00+00:00,1894347.0,50527.0,741930.25,23737.5
2025-03-05 17:00:00+00:00,712680.0,47187.0,46384.0,27400.0
2025-03-05 18:00:00+00:00,41141.0,34924.0,0.0,39550.0
2025-03-05 19:00:00+00:00,0.0,37242.0,0.0,50262.5
2025-03-05 20:00:00+00:00,0.0,41079.0,0.0,71412.5
2025-03-05 21:00:00+00:00,0.0,86305.0,0.0,78837.5
2025-03-05 22:00:00+00:00,0.0,135808.0,0.0,92612.5
2025-03-05 23:00:00+00:00,0.0,190373.0,0.0,115275.0
2025-03-06 00:00:00+00:00,0.0,272736.0,0.0,143137.5
2025-03-06 01:00:00+00:00,0.0,341468.0,0.0,189637.5
2025-03-06 02:00:00+00:00,0.0,411468.0,0.0,214600.0
2025-03-06 03:00:00+00:00,0.0,423133.0,0.0,231337.5
2025-03-06 04:00:00+00:00,0.0,522080.0,0.0,233475.0
2025-03-06 05:00:00+00:00,0.0,536718.0,0.0,240350.0
2025-03-06 06:00:00+00:00,0.0,515422.0,120762.5,258425.0
2025-03-06 07:00:00+00:00,105717.0,614468.0,1120752.75,260850.0
2025-03-06 08:00:00+00:00,1061496.0,653999.0,2595439.5,262925.0
2025-03-06 09:00:00+00:00,1843669.0,455267.0,3259280.0,184437.5
2025-03-06 10:00:00+00:00,2846633.0,208585.0,3801461.5,104025.0
2025-03-06 11:00:00+00:00,3753433.0,169250.0,4395435.0,98787.5
2025-03-06 12:00:00+00:00,4325713.0,289626.0,4651779.75,111425.0
2025-03-06 13:00:00+00:00,4339194.0,360161.0,4357768.25,120712.5
2025-03-06 14:00:00+00:00,3945428.0,353000.0,3544704.75,119687.5
2025-03-06 15:00:00+00:00,3084152.0,361891.0,2153155.75,120200.0
2025-03-06 16:00:00+00:00,1926948.0,444537.0,759749.75,144975.0
2025-03-06 17:00:00+00:00,774072.0,220939.0,51441.0,206412.5
2025-03-06 18:00:00+00:00,43932.0,170864.0,0.0,230862.5
2025-03-06 19:00:00+00:00,0.0,352789.0,0.0,242462.5
2025-03-06 20:00:00+00:00,0.0,525353.0,0.0,248912.5
2025-03-06 21:00:00+00:00,0.0,567395.0,0.0,266637.5
2025-03-06 22:00:00+00:00,0.0,606476.0,0.0,273037.5
2025-03-06 23:00:00+00:00,0.0,678941.0,0.0,271837.5
2025-03-07 00:00:00+00:00,0.0,629817.0,0.0,272600.0
2025-03-07 01:00:00+00:00,0.0,524717.0,0.0,245725.0
2025-03-07 02:00:00+00:00,0.0,603333.0,0.0,228462.5
2025-03-07 03:00:00+00:00,0.0,587415.0,0.0,225675.0
2025-03-07 04:00:00+00:00,0.0,558317.0,0.0,238625.0
2025-03-07 05:00:00+00:00,0.0,512406.0,0.0,231100.0
2025-03-07 06:00:00+00:00,0.0,554530.0,136533.25,225300.0
2025-03-07 07:00:00+00:00,106643.0,558060.0,1173951.5,215387.5
2025-03-07 08:00:00+00:00,1000385.0,520420.0,2702909.75,180350.0
2025-03-07 09:00:00+00:00,2092740.0,343243.0,3437122.0,116925.0
2025-03-07 10:00:00+00:00,3143215.0,246301.0,4079967.75,93287.5
2025-03-07 11:00:00+00:00,3889839.0,231638.0,4431513.5,83637.5
2025-03-07 12:00:00+00:00,4214613.0,265275.0,4432306.75,80975.0
2025-03-07 13:00:00+00:00,4206830.0,234858.0,4118068.25,84400.0
2025-03-07 14:00:00+00:00,3773275.0,304890.0,3352416.5,82675.0
2025-03-07 15:00:00+00:00,2958245.0,321891.0,2029753.5,93725.0
2025-03-07 16:00:00+00:00,1842031.0,220800.0,720575.75,95662.5
2025-03-07 17:00:00+00:00,775510.0,124053.0,53384.75,103087.5
2025-03-07 18:00:00+00:00,45588.0,98788.0,0.0,117150.0
2025-03-07 19:00:00+00:00,0.0,173914.0,0.0,140162.5
2025-03-07 20:00:00+00:00,0.0,281183.0,0.0,176662.5
2025-03-07 21:00:00+00:00,0.0,393287.0,0.0,205462.5
2025-03-07 22:00:00+00:00,0.0,491435.0,0.0,222687.5
2025-03-07 23:00:00+00:00,0.0,547402.0,0.0,228412.5
2025-03-08 00:00:00+00:00,0.0,593678.0,0.0,221912.5
2025-03-08 01:00:00+00:00,0.0,510281.0,0.0,178237.5
2025-03-08 02:00:00+00:00,0.0,383445.0,0.0,156300.0
2025-03-08 03:00:00+00:00,0.0,340663.0,0.0,145187.5
2025-03-08 04:00:00+00:00,0.0,391765.0,0.0,154962.5
2025-03-08 05:00:00+00:00,0.0,426688.0,0.0,171762.5
2025-03-08 06:00:00+00:00,0.0,454570.0,143954.25,189612.5
2025-03-08 07:00:00+00:00,123687.0,432497.0,1166629.25,174112.5
2025-03-08 08:00:00+00:00,1042437.0,378805.0,2764963.25,157437.5
2025-03-08 09:00:00+00:00,2110866.0,263661.0,3461680.0,99425.0
2025-03-08 10:00:00+00:00,3172600.0,127817.0,4073873.0,51862.5
2025-03-08 11:00:00+00:00,3888626.0,71452.0,4277041.25,42637.5
2025-03-08 12:00:00+00:00,4245173.0,94747.0,4332829.25,49887.5
2025-03-08 13:00:00+00:00,4206807.0,137535.0,3957052.0,69600.0
2025-03-08 14:00:00+00:00,3748738.0,180759.0,3148992.0,83325.0
2025-03-08 15:00:00+00:00,2900605.0,218457.0,2016391.75,92137.5
2025-03-08 16:00:00+00:00,1716657.0,212429.0,789041.75,112700.0
2025-03-08 17:00:00+00:00,703748.0,228344.0,62312.0,160925.0
2025-03-08 18:00:00+00:00,39617.0,338085.0,0.0,207525.0
2025-03-08 19:00:00+00:00,0.0,500697.0,0.0,214437.5
2025-03-08 20:00:00+00:00,0.0,554996.0,0.0,212175.0
2025-03-08 21:00:00+00:00,0.0,517685.0,0.0,216712.5
2025-03-08 22:00:00+00:00,0.0,533130.0,0.0,220200.0
2025-03-08 23:00:00+00:00,0.0,511293.0,0.0,231512.5
2025-03-09 00:00:00+00:00,0.0,538975.0,0.0,224087.5
2025-03-09 01:00:00+00:00,0.0,474407.0,0.0,190150.0
2025-03-09 02:00:00+00:00,0.0,407301.0,0.0,176050.0
2025-03-09 03:00:00+00:00,0.0,421134.0,0.0,164050.0
2025-03-09 04:00:00+00:00,0.0,400292.0,0.0,154650.0
2025-03-09 05:00:00+00:00,0.0,377357.0,0.0,141937.5
2025-03-09 06:00:00+00:00,0.0,309723.0,154919.0,138125.0
2025-03-09 07:00:00+00:00,140048.0,299320.0,1097547.25,132062.5
